3, 3352, 39, 48, 41
3, 1580, 39, 38, 48
3, 1577, 32, 39, 48
3, 1426, 39, 38, 41
3, 1168, 32, 39, 41
3, 1052, 38, 48, 41
3, 995, 32, 48, 41
4, 895, 39, 38, 48, 41
4, 806, 32, 39, 48, 41
3, 630, 39, 38, 170
3, 530, 39, 38, 36
3, 524, 32, 39, 38
3, 508, 39, 89, 48
3, 446, 32, 38, 48
3, 437, 39, 65, 48
3, 436, 38, 48, 170
3, 432, 39, 38, 110
3, 420, 39, 310, 48
3, 399, 32, 38, 41
3, 396, 38, 41, 170
3, 380, 39, 1327, 48
3, 357, 39, 48, 475
3, 352, 38, 36, 48
4, 345, 32, 39, 38, 48
3, 338, 39, 48, 170
3, 332, 39, 225, 48
4, 332, 39, 38, 48, 170
3, 329, 39, 225, 41
3, 327, 39, 237, 48
3, 327, 39, 65, 41
3, 319, 39, 310, 41
3, 318, 38, 36, 41
4, 311, 32, 39, 38, 41
3, 310, 38, 110, 48
4, 300, 170, 39, 38, 41
3, 296, 39, 170, 41
3, 285, 39, 89, 41
3, 285, 38, 110, 41
3, 277, 39, 36, 41
3, 274, 65, 48, 41
3, 272, 39, 36, 48
4, 272, 39, 38, 36, 48
3, 267, 89, 48, 41
3, 266, 310, 48, 41
4, 265, 39, 38, 36, 41
3, 261, 39, 1146, 48
4, 261, 32, 38, 48, 41
3, 253, 39, 475, 41
3, 251, 39, 48, 255
3, 249, 39, 438, 48
3, 249, 39, 1327, 41
3, 244, 39, 1146, 41
3, 240, 39, 110, 48
4, 240, 39, 310, 48, 41
4, 238, 39, 38, 110, 48
3, 235, 39, 101, 48
3, 234, 225, 48, 41
3, 232, 39, 237, 41
4, 231, 39, 38, 110, 41
3, 230, 170, 48, 41
4, 227, 170, 38, 48, 41
4, 226, 39, 89, 48, 41
5, 224, 32, 39, 38, 48, 41
3, 223, 41, 48, 475
4, 218, 39, 65, 48, 41
3, 209, 271, 39, 41
3, 206, 604, 39, 48
4, 204, 39, 225, 48, 41
3, 202, 60, 39, 48
3, 199, 1327, 48, 41
3, 198, 39, 533, 48
4, 194, 39, 170, 48, 41
3, 194, 271, 39, 48
3, 194, 1146, 48, 41
5, 193, 170, 39, 38, 48, 41
4, 188, 39, 41, 48, 475
3, 187, 2238, 39, 48
3, 186, 39, 38, 37
3, 185, 147, 39, 48
3, 182, 270, 39, 41
3, 181, 39, 79, 48
3, 180, 39, 110, 41
3, 178, 2238, 39, 41
3, 175, 270, 39, 48
3, 175, 237, 48, 41
3, 174, 9, 39, 48
3, 173, 36, 48, 41
3, 173, 39, 38, 286
3, 172, 39, 79, 41
3, 172, 1198, 39, 48
4, 170, 38, 110, 48, 41
4, 168, 38, 36, 48, 41
3, 166, 32, 38, 170
3, 166, 38, 37, 48
3, 166, 39, 117, 48
3, 166, 39, 438, 41
3, 165, 39, 101, 41
4, 164, 39, 1327, 48, 41
3, 164, 39, 1344, 48
4, 162, 39, 1146, 48, 41
3, 162, 39, 48, 78
3, 160, 39, 592, 48
